id,name,quote
1,New Beginnings,"I embrace fresh starts with open arms"
2,Inner Strength,"Everything I need is already within me"
3,Intuition,"I trust my inner knowing"
4,Abundance,"I notice and appreciate what I have"
5,Boundaries,"I honor my needs clearly"
6,Connection,"I nurture meaningful relationships"
7,Momentum,"I move forward with purpose"
8,Patience,"I trust the timing of my life"
9,Reflection,"In stillness I find clarity"
10,Trust,"I release what I cannot control"
11,Authenticity,"I show up as I truly am"
12,Release,"I let go of what no longer serves me"
13,Change,"I welcome transformation"
14,Balance,"I find equilibrium in my life"
15,Freedom,"I break free from limitations"
16,Disruption,"From upheaval comes growth"
17,Hope,"I trust that better days are coming"
18,Mystery,"I'm comfortable not knowing everything"
19,Joy,"I give myself permission to be happy"
20,Completion,"I honor how far I've come"
